"filename", "language", "JavaScript", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\backend\models\colorModel.js", "JavaScript", 15, 0, 0, 2, 3, 20
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\backend\models\couponModel.js", "JavaScript", 18, 0, 0, 2, 3, 23
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\backend\models\enqModel.js", "JavaScript", 25, 0, 0, 0, 4, 29
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\backend\models\orderModel.js", "JavaScript", 56, 0, 0, 2, 3, 61
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\backend\models\prodcategoryModel.js", "JavaScript", 15, 0, 0, 2, 2, 19
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\backend\models\productModel.js", "JavaScript", 61, 0, 0, 2, 3, 66
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\backend\models\userModel.js", "JavaScript", 75, 0, 0, 2, 4, 81
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\backend\package-lock.json", "JSON", 0, 2720, 0, 0, 1, 2721
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\backend\package.json", "JSON", 0, 34, 0, 0, 1, 35
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\backend\routes\authRoute.js", "JavaScript", 61, 0, 0, 0, 3, 64
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\backend\routes\blogCatRoute.js", "JavaScript", 10, 0, 0, 0, 2, 12
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\backend\routes\blogRoute.js", "JavaScript", 20, 0, 0, 0, 3, 23
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\backend\routes\brandRoute.js", "JavaScript", 10, 0, 0, 0, 4, 14
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\backend\routes\colorRoute.js", "JavaScript", 16, 0, 0, 0, 2, 18
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\backend\routes\couponRoute.js", "JavaScript", 16, 0, 0, 0, 3, 19
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\backend\routes\enqRoute.js", "JavaScript", 16, 0, 0, 0, 2, 18
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\backend\routes\prodcategoryRoute.js", "JavaScript", 16, 0, 0, 0, 3, 19
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\backend\routes\productRoute.js", "JavaScript", 20, 0, 0, 0, 4, 24
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\backend\routes\uploadRoute.js", "JavaScript", 15, 0, 0, 0, 6, 21
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\backend\utils\cloudinary.js", "JavaScript", 39, 0, 0, 0, 5, 44
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\backend\utils\validateMongodbId.js", "JavaScript", 6, 0, 0, 0, 0, 6
"Total", "-", 2021, 2754, 8, 108, 265, 5156
